,videoId,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,scanTimeStamp,Epoch,firstTrendingTime,timeToTrendSeconds,isTrend
39,JGP98IDCrTc,2023-12-17 16:14:52+00:00,312000,37,784,Now,Science & Technology,FR,57671,6300.0,291.0,True,"['pixmob', 'coldplay', 'the weeknd', 'taylor swift', 'imagine dragons', 'lady gaga', 'bad bunny', 'elton john', 'wristband', 'infrarouge', 'menu', 'ecologique', 'concert', 'spectacle']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,118143.763489024,True
40,RrasC4E_1R8,2023-12-17 11:00:31+00:00,1130000,38,1048,Now,Entertainment,FR,103608,4600.0,257.0,True,,2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,137004.763489024,True
41,bOppj5rT2xA,2023-12-17 16:30:06+00:00,436000,39,673,Now,Entertainment,FR,39014,3400.0,44.0,True,"['FR', 'AlphaCast', 'Gameplay', 'Alfacast', 'France', 'Lynkus', 'Live', 'Twitch', 'Meilleurs moments', 'Best of', '35', 'Tablequest', 'Jeu vidéo', 'gameplay', 'drôle', 'blagues', 'rire', 'clips', 'Stream', 'Streaming', 'Alpha', 'Alfa', 'M4F', 'Ted', 'Eventis', 'Troma', 'Ted Etienne', 'AVAMIND', 'AVA', 'Gom4rt', 'Antoine Daniel', 'JDG', 'Mynthos', 'Joueur du Grenier', 'Dead Space', 'Grounded', 'Warhammer']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,117229.763489024,True
42,OBgUnwkPivg,2023-12-15 17:22:32+00:00,1950000,40,509,Now,People & Blogs,FR,862882,5800.0,657.0,False,"['guy marchand', 'hommage', 'patrick sébastien']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,286883.763489024,True
43,BYKz4ksSFFc,2023-12-17 11:00:12+00:00,116000,41,157,Now,Music,FR,51606,3500.0,130.0,False,"['rsko chanel bag parole', 'rsko chanel bag']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,137023.763489024,True
44,mWacdcatC9o,2023-12-17 06:35:44+00:00,1400000,42,52,Now,Film & Animation,FR,2879283,210000.0,10000.0,False,,2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,152891.763489024,True
45,HCJ2WHNpQqc,2023-12-15 11:00:17+00:00,1200000,43,171,Now,Music,FR,508182,33000.0,935.0,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,309818.763489024,True
46,BOQ1FdoBBmI,2023-12-16 08:59:24+00:00,850000,44,719,Now,Film & Animation,FR,248890,30000.0,1100.0,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,230671.763489024,True
47,sRtFQf5wQ-U,2023-12-17 23:21:13+00:00,395000,45,283,Now,People & Blogs,FR,146050,2200.0,288.0,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,92562.763489024,True
48,5VojZY6p798,2023-12-17 14:49:09+00:00,916000,46,546,Now,Science & Technology,FR,62282,5000.0,343.0,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,123286.763489024,True
49,qj9REJK5K3w,2023-12-17 19:53:37+00:00,2040000,47,835,Now,Sports,FR,199079,3000.0,229.0,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,105018.763489024,True
50,5jrMwhmYW1A,2023-12-14 15:56:41+00:00,158000,0,151,Recently Trending,Comedy,FR,925970,43000.0,1900.0,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,378434.763489024,True
51,QdBZY2fkU-0,2023-12-04 23:07:10+00:00,10300000,1,90,Recently Trending,Gaming,FR,153096837,10000000.0,832000.0,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,1216605.763489024,True
52,9RhWXPcKBI8,2023-12-16 17:00:01+00:00,219000000,2,1627,Recently Trending,Entertainment,FR,62941741,3000000.0,50000.0,True,,2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,201834.763489024,True
53,LnW-DwBrWLk,2023-12-17 15:59:59+00:00,4000000,3,827,Recently Trending,Comedy,FR,492965,39000.0,563.0,True,,2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,119036.763489024,True
54,9gAADPMt1FU,2023-12-17 18:28:05+00:00,724000,4,1056,Recently Trending,Comedy,FR,325905,57000.0,1200.0,True,,2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,110150.763489024,True
55,K4GQRiuNpP0,2023-12-17 16:00:33+00:00,1990000,5,2773,Recently Trending,Howto & Style,FR,301552,12000.0,438.0,False,,2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,119002.763489024,True
56,6oLB9vDNvI0,2023-12-15 17:47:00+00:00,2100000,6,394,Recently Trending,Entertainment,FR,697740,17000.0,616.0,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,285415.763489024,True
57,HCJ2WHNpQqc,2023-12-15 11:00:17+00:00,1200000,7,171,Recently Trending,Music,FR,508182,33000.0,935.0,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,309818.763489024,True
58,pFpjyAp8aJ0,2023-12-13 11:00:46+00:00,706000,8,7828,Recently Trending,Entertainment,FR,527161,19000.0,374.0,True,['Zack Nani'],2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,482589.763489024,True
59,zePFAZMUnbU,2023-12-08 17:18:08+00:00,4910000,9,2314,Recently Trending,Howto & Style,FR,2224840,76000.0,816.0,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,891947.763489024,True
60,dh8XxY717Gw,2023-12-07 17:15:03+00:00,2500000,10,1740,Recently Trending,Autos & Vehicles,FR,3197221,324000.0,32000.0,True,"['vilebrequin', 'voiture', 'automobile', 'essai', 'test', 'vultech', 'vilbrequin', 'multipla', 'xantia', 'mécanique', ""dos d'âne"", 'dodane', 'dodane 130', 'dos dane 130', ""vilebrequin dos d'ane"", ""vilebrequin dos d'âne"", ""dos d'ane 170"", 'vilebrequin bus', 'drift', 'drole', 'fun', 'squeezie', 'amixem', 'joyca', '1000tipla', 'vilebrequin bourré', ""dos d'âne 170"", '1ÈRE 130', 'top gear', 'crash', 'accident', 'jump', 'drift bus', 'dodane 170', 'mcfly', 'fin vilebrequin', 'vilebrequin fini', 'arret vilebrequin', 'vilebrequin drama', 'vilebrequin fin', 'dernière video']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,978532.763489024,True
61,OBgUnwkPivg,2023-12-15 17:22:32+00:00,1950000,11,509,Recently Trending,People & Blogs,FR,862882,5800.0,657.0,False,"['guy marchand', 'hommage', 'patrick sébastien']",2023-12-19 01:03:55.763489024+00:00,1,2023-12-19 01:03:55.763489024+00:00,286883.763489024,True
