,Unnamed: 0,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
44,44,mWacdcatC9o,1702947835.763489,2023-12-16T22:35:44-08:00,1.4M subscribers,42,52,Now,Film & Animation,FR,"2,879,283 views",210K,10K,False,,1
45,45,HCJ2WHNpQqc,1702947835.763489,2023-12-15T03:00:17-08:00,1.2M subscribers,43,171,Now,Music,FR,"508,182 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1
46,46,BOQ1FdoBBmI,1702947835.763489,2023-12-16T00:59:24-08:00,850K subscribers,44,719,Now,Film & Animation,FR,"248,890 views",30K,1.1K,True,"['théorie', 'Chronik Fiction', 'Fabio Soares', 'Mike Zonnenberg', 'cinéma', 'web-série', 'série digitale', 'analyse', 'critique', 'film', 'chronique', 'berlin', 'lacasadepapel', 'netflix', 'berlin trailer', 'berlin bande annonce vf', 'berlin bande annonce fr']",1
47,47,sRtFQf5wQ-U,1702947835.763489,2023-12-17T15:21:13-08:00,395K subscribers,45,283,Now,People & Blogs,FR,"146,050 views",2.2K,288,True,"['2023/24', 'football', 'futebol', 'goals', 'golos', 'highlights', 'liga portugal', 'liga portugal betclic', 'liga portuguesa', 'portugal', 'portuguese league', 'primeira liga', 'resumo', 'season 23/24', 'soccer', 'sp:dt=2023-12-17T20:30:00Z', 'sp:li=port', 'sp:st=soccer', 'sp:ti:away=SLB', 'sp:ti:home=SCB', 'sp:ty=high']",1
48,48,5VojZY6p798,1702947835.763489,2023-12-17T06:49:09-08:00,916K subscribers,46,546,Now,Science & Technology,FR,"62,282 views",5K,343,True,"['TheiCollection', 'Studio TheiCollection', 'Setup TheiCollection', 'Apple', 'Tech', 'Roche Bobois', 'Polygonia Roche Bobois', 'Furtif Roche Bobois', 'Bureau Roche Bobois', 'Setup highTech', 'HighTech', 'Technologie', 'JB', 'Jojol', 'Gentil', 'Garçon', 'Astuces tournage', 'astuces', 'setup astuce', 'setup caméra', 'setup tech', 'studio tech', 'The Frame', 'Philips hue', 'Astuces Philips Hue']",1
49,49,qj9REJK5K3w,1702947835.763489,2023-12-17T11:53:37-08:00,2.04M subscribers,47,835,Now,Sports,FR,"199,079 views",3K,229,True,"['coupe', 'du', 'monde', 'championnat', 'championnats', 'mondial', 'hand', 'handball', 'equipe', 'de', 'france', 'bleu', 'bleus', 'bleue', 'bleues', 'norvege', 'norway']",1
50,50,5jrMwhmYW1A,1702947835.763489,2023-12-14T07:56:41-08:00,158K subscribers,0,151,Recently Trending,Comedy,FR,"925,970 views",43K,1.9K,False,"['malik bentalha', 'encore', 'titanic', 'jamel comedy club', 'marrakech du rire', 'rendez-vous en terre inconnue', 'sketch', 'nouveau', 'spectacle', 'stand-up', 'entier', 'colors', 'jul', 'becan', 'show', 'sch', 'freeze corleone', 'haaarp', 'francais', 'fr', 'niska', 'tv', 'angele', 'kalash', 'chalgoumi', 'praud', 'cnews', ""l'heure de trop"", 'nouveau monde', 'pascal praud', ""l'heure des pros"", 'debat', 'islam', 'parodie', 'israel', 'palestine', 'djellaba', 'islamique', 'vetement', 'lastella', 'zemmour', 'comedy', 'comedie', 'humour', 'rap', 'freestyle', 'booska p', 'interview', 'fougasse', 'streaming', 'react', 'reaction', 'avis']",1
51,51,QdBZY2fkU-0,1702947835.763489,2023-12-04T15:07:10-08:00,10.3M subscribers,1,90,Recently Trending,Gaming,FR,"153,096,837 views",10M,832K,True,"['Rockstar Games', 'Grand Theft Auto VI', 'GTAVI', 'GTA 6', 'GTA Six', 'Grand Theft Auto', 'GTA', 'Vice City', 'Leonida']",1
52,52,9RhWXPcKBI8,1702947835.763489,2023-12-16T09:00:01-08:00,219M subscribers,2,1627,Recently Trending,Entertainment,FR,"62,941,741 views",3M,50K,True,,1
53,53,LnW-DwBrWLk,1702947835.763489,2023-12-17T07:59:59-08:00,4M subscribers,3,827,Recently Trending,Comedy,FR,"492,965 views",39K,563,True,,1
54,54,9gAADPMt1FU,1702947835.763489,2023-12-17T10:28:05-08:00,724K subscribers,4,1056,Recently Trending,Comedy,FR,"325,905 views",57K,1.2K,True,,1
55,55,K4GQRiuNpP0,1702947835.763489,2023-12-17T08:00:33-08:00,1.99M subscribers,5,2773,Recently Trending,Howto & Style,FR,"301,552 views",12K,438,False,,1
56,56,6oLB9vDNvI0,1702947835.763489,2023-12-15T09:47:00-08:00,2.1M subscribers,6,394,Recently Trending,Entertainment,FR,"697,740 views",17K,616,True,"['booskap', 'booska-p', 'rap', 'hiphop', 'interview', 'freestyle', 'rap français', 'musique', 'jdr', 'rap fr', 'booska', 'booska p', 'la bul', 'jul', 'malik bentalha', 'malik bentalha sketch', ""mange moi l'ananas""]",1
57,57,HCJ2WHNpQqc,1702947835.763489,2023-12-15T03:00:17-08:00,1.2M subscribers,7,171,Recently Trending,Music,FR,"508,182 views",33K,935,False,"['PLK', 'Periph', 'périph', '92 93 94', 'polak']",1
58,58,pFpjyAp8aJ0,1702947835.763489,2023-12-13T03:00:46-08:00,706K subscribers,8,7828,Recently Trending,Entertainment,FR,"527,161 views",19K,374,True,['Zack Nani'],1
59,59,zePFAZMUnbU,1702947835.763489,2023-12-08T09:18:08-08:00,4.91M subscribers,9,2314,Recently Trending,Howto & Style,FR,"2,224,840 views",76K,816,True,"['Fastgoodcuisine', 'Fastgood', 'Fastfood', 'Qui est', 'Qui est l’imposteur', 'l’imposteur', 'Plat piégé', 'Piégé', 'Qui est le menteur', 'Le menteur', ""qui est l'imposteur"", 'Qui Aura Le Plat Piégé ?', ""qui aura l'objet piégé"", 'challenge', 'Qui est l’imposteur ?', 'inox', 'inoxtag', 'inoxtag imposteur', 'inoxtag fastgoodcuisine', 'fastgoodcuisine inoxtag', 'fastgoodcuisine inox', 'gurky', 'gurky fast food', 'gurky fastgoodcuisine', 'tacos piégé', 'fastfood piégé', 'gurky le murky']",1
